operator: +, operand1: 2, operand2: 3
operator: +, operand1: 5.0, operand2: 6
operator: x, operand1: 11.0, operand2: 4
operator: ÷, operand1: 44.0, operand2: 2
operator: undo, operand1: , operand2: 
operator: x, operand1: 11.0, operand2: 4
operator: undo, operand1: , operand2: 
operator: +, operand1: 5.0, operand2: 6
operator: undo, operand1: , operand2: 
operator: +, operand1: 2, operand2: 3
operator: undo, operand1: , operand2: 
operator: +, operand1: 0, operand2: 6
operator: x, operand1: 6.0, operand2: 8
operator: ÷, operand1: 48.0, operand2: 7
operator: undo, operand1: , operand2: 
operator: x, operand1: 6.0, operand2: 8
operator: undo, operand1: , operand2: 
operator: +, operand1: 0, operand2: 6
